These are patches originally created for the DX-21 by Bobby Clark.  I have converted them for use on the FB-01 using Martin Tarenskeen's FB_CNVRT program for the AtariST.  So a big thanks to him for that very useful program!  The files were originally dated April 22, 1987 (uh.... and it looks like I needed to set the date & time on the AtariST emulator, as they're now dated with the year 2032).

The original patch list is as follows


 DX   DX
A12   12 - PharoPIAN2
A13   13 - Confusion 
A14   14 - Fantin    
A15   15 - CinemaSyn.
A16   16 - MarsPerct.
B 1   17 - MarsGossa.
B 2   18 - MarsBass  
B 3   19 - c:Z6NL<VM@
B 4   20 - 7th Doctor
B 5   21 - Distortion
B 6   22 - SolidBass2
B 7   23 - xenomorph 
B 8   24 - Quarks!!! 

File: Z.syx


A 1    1 - Azaxyr    
A 2    2 - DRACOS    
A 3    3 - SORCEROR  
A 4    4 - DEMO      
A 5    5 -    IS     
A 6    6 - Ravolox   
A 7    7 - GuitarPIPE
A 8    8 - HAUNTASIA 
A 9    9 - OMEGA     
A10   10 - Nor. Wood 
A11   11 - Rialto    
A12   12 - SpaceSITAR
A13   13 - Peladon   
A14   14 - Mama Perc 
A15   15 - Psycho    
A16   16 - Rassilon  
B 1   17 - Hindu     
B 2   18 - Epilogue I
B 3   19 - Z 19      
B 4   20 - Z 20      
B 5   21 - ShardSYNTH
B 6   22 - Gauntlet  
B 7   23 - Guitar Arc
B 8   24 - SPACEYVIBE
